# mass_TeV  exp_m2sigma  exp_m1sigma  exp_median  exp_p1sigma  exp_p2sigma
1.100  8.193729e-04  1.178186e-03  1.839995e-03  3.024485e-03  4.847051e-03
1.200  6.529355e-04  9.605104e-04  1.547699e-03  2.602631e-03  4.250252e-03
1.300  5.408535e-04  8.170236e-04  1.344257e-03  2.330179e-03  3.895462e-03
1.400  4.811738e-04  7.375189e-04  1.244247e-03  2.201455e-03  3.740314e-03
1.600  3.954381e-04  6.267371e-04  1.100349e-03  2.012646e-03  3.345961e-03
1.800  3.478503e-04  5.734727e-04  1.035461e-03  1.931106e-03  3.148668e-03
2.000  3.349086e-04  5.585068e-04  1.032971e-03  1.951166e-03  3.141105e-03
2.200  3.306526e-04  5.594752e-04  1.045026e-03  1.994764e-03  3.177761e-03
2.400  3.245870e-04  5.575308e-04  1.051826e-03  2.016130e-03  3.198441e-03
2.600  3.175475e-04  5.496650e-04  1.042207e-03  1.993537e-03  3.169190e-03
