# mass_TeV  exp_m2sigma  exp_m1sigma  exp_median  exp_p1sigma  exp_p2sigma
1.100  7.775486e-04  1.130669e-03  1.793265e-03  2.979839e-03  4.810601e-03
1.200  6.366217e-04  9.413597e-04  1.523132e-03  2.585605e-03  4.240002e-03
1.300  5.329510e-04  8.064068e-04  1.337603e-03  2.329306e-03  3.897713e-03
1.400  4.763135e-04  7.342913e-04  1.244247e-03  2.206414e-03  3.746610e-03
1.600  3.928782e-04  6.266219e-04  1.105240e-03  2.017185e-03  3.360832e-03
1.800  3.490098e-04  5.753843e-04  1.038913e-03  1.941684e-03  3.159164e-03
2.000  3.365748e-04  5.612854e-04  1.038110e-03  1.960874e-03  3.156733e-03
2.200  3.290634e-04  5.609503e-04  1.053003e-03  2.009991e-03  3.202019e-03
2.400  3.265662e-04  5.609304e-04  1.058240e-03  2.028423e-03  3.217943e-03
2.600  3.175475e-04  5.496650e-04  1.042207e-03  2.001846e-03  3.169190e-03
