# mass_TeV  exp_m2sigma  exp_m1sigma  exp_median  exp_p1sigma  exp_p2sigma
1.100  6.420817e-04  9.594918e-04  1.565456e-03  2.669932e-03  4.368376e-03
1.200  5.330771e-04  8.079038e-04  1.351166e-03  2.342154e-03  3.894780e-03
1.300  4.661957e-04  7.186936e-04  1.217817e-03  2.140129e-03  3.605512e-03
1.400  4.160800e-04  6.569720e-04  1.133154e-03  2.027480e-03  3.445582e-03
1.600  3.576136e-04  5.740443e-04  1.017212e-03  1.860579e-03  3.093155e-03
1.800  3.200223e-04  5.275949e-04  9.526245e-04  1.761429e-03  2.896775e-03
2.000  3.085905e-04  5.159248e-04  9.404663e-04  1.757691e-03  2.859812e-03
2.200  3.015168e-04  5.114525e-04  9.413208e-04  1.759288e-03  2.862411e-03
2.400  2.968533e-04  5.035419e-04  9.267615e-04  1.735772e-03  2.818138e-03
2.600  2.860170e-04  4.887780e-04  9.039551e-04  1.689454e-03  2.748787e-03
