# mass_TeV  exp_m2sigma  exp_m1sigma  exp_median  exp_p1sigma  exp_p2sigma
1.100  8.024424e-04  1.165154e-03  1.834154e-03  3.018539e-03  4.847721e-03
1.200  6.503445e-04  9.566989e-04  1.541557e-03  2.604593e-03  4.256392e-03
1.300  5.356025e-04  8.135776e-04  1.344257e-03  2.335537e-03  3.896049e-03
1.400  4.777311e-04  7.364767e-04  1.247951e-03  2.203032e-03  3.738874e-03
1.600  3.954381e-04  6.267371e-04  1.100349e-03  2.012646e-03  3.345961e-03
1.800  3.478503e-04  5.734727e-04  1.035461e-03  1.931106e-03  3.148668e-03
2.000  3.349086e-04  5.585068e-04  1.032971e-03  1.942932e-03  3.141105e-03
2.200  3.306526e-04  5.594752e-04  1.045026e-03  1.978101e-03  3.177761e-03
2.400  3.266914e-04  5.569068e-04  1.045413e-03  1.983001e-03  3.178938e-03
2.600  3.166958e-04  5.439765e-04  1.026255e-03  1.950752e-03  3.120682e-03
