# mass_TeV  exp_m2sigma  exp_m1sigma  exp_median  exp_p1sigma  exp_p2sigma
1.100  6.468734e-04  9.666522e-04  1.577139e-03  2.677284e-03  4.398618e-03
1.200  5.330771e-04  8.142951e-04  1.351166e-03  2.352925e-03  3.916660e-03
1.300  4.661957e-04  7.186936e-04  1.217817e-03  2.149837e-03  3.624323e-03
1.400  4.187994e-04  6.612660e-04  1.140560e-03  2.040732e-03  3.468102e-03
1.600  3.553403e-04  5.741216e-04  1.022102e-03  1.873598e-03  3.108026e-03
1.800  3.223413e-04  5.314181e-04  9.595276e-04  1.781842e-03  2.917766e-03
2.000  3.082492e-04  5.190680e-04  9.507446e-04  1.788270e-03  2.891067e-03
2.200  3.028879e-04  5.150526e-04  9.572754e-04  1.804370e-03  2.910926e-03
2.400  2.966278e-04  5.107560e-04  9.492090e-04  1.804300e-03  2.886398e-03
2.600  2.888004e-04  4.960614e-04  9.358594e-04  1.778924e-03  2.845803e-03
