# mass_TeV  exp_m2sigma  exp_m1sigma  exp_median  exp_p1sigma  exp_p2sigma
1.100  6.444775e-04  9.630719e-04  1.571298e-03  2.673631e-03  4.383501e-03
1.200  5.330771e-04  8.110995e-04  1.351166e-03  2.342154e-03  3.901681e-03
1.300  4.661957e-04  7.186936e-04  1.217817e-03  2.144983e-03  3.605816e-03
1.400  4.160800e-04  6.569720e-04  1.133154e-03  2.031997e-03  3.445583e-03
1.600  3.553403e-04  5.741216e-04  1.022102e-03  1.861376e-03  3.108026e-03
1.800  3.211818e-04  5.295065e-04  9.560760e-04  1.771622e-03  2.907270e-03
2.000  3.082492e-04  5.190680e-04  9.507446e-04  1.776901e-03  2.891067e-03
2.200  3.016259e-04  5.154521e-04  9.532867e-04  1.793052e-03  2.898797e-03
2.400  2.956257e-04  5.090305e-04  9.460022e-04  1.790663e-03  2.876646e-03
2.600  2.891327e-04  4.928809e-04  9.252246e-04  1.758709e-03  2.813465e-03
