# mass_TeV  exp_m2sigma  exp_m1sigma  exp_median  exp_p1sigma  exp_p2sigma
1.100  8.193729e-04  1.178186e-03  1.839995e-03  3.028152e-03  4.853132e-03
1.200  6.529355e-04  9.605104e-04  1.547699e-03  2.602631e-03  4.254361e-03
1.300  5.408535e-04  8.170236e-04  1.344257e-03  2.335537e-03  3.899471e-03
1.400  4.811738e-04  7.375189e-04  1.244247e-03  2.206414e-03  3.746610e-03
1.600  3.954381e-04  6.267371e-04  1.100349e-03  2.017032e-03  3.345961e-03
1.800  3.478503e-04  5.734727e-04  1.035461e-03  1.939361e-03  3.148669e-03
2.000  3.349086e-04  5.612336e-04  1.032971e-03  1.963519e-03  3.141105e-03
2.200  3.290634e-04  5.609503e-04  1.053003e-03  2.009991e-03  3.202019e-03
2.400  3.265662e-04  5.609304e-04  1.058240e-03  2.036860e-03  3.217943e-03
2.600  3.191676e-04  5.524694e-04  1.047524e-03  2.020411e-03  3.185360e-03
