# mass_TeV  exp_m2sigma  exp_m1sigma  exp_median  exp_p1sigma  exp_p2sigma
1.100  2.246145e-04  3.321330e-04  5.373955e-04  8.972652e-04  1.429773e-03
1.200  1.786360e-04  2.713472e-04  4.483414e-04  7.646595e-04  1.241733e-03
1.300  1.518372e-04  2.327284e-04  3.926296e-04  6.805967e-04  1.118734e-03
1.400  1.329651e-04  2.074116e-04  3.545735e-04  6.245224e-04  1.038332e-03
1.600  1.061665e-04  1.719492e-04  3.019848e-04  5.439334e-04  9.168293e-04
1.800  9.119948e-05  1.493293e-04  2.683571e-04  4.919208e-04  8.160149e-04
2.000  8.347120e-05  1.395534e-04  2.543884e-04  4.723991e-04  7.735535e-04
2.200  7.921205e-05  1.343646e-04  2.472961e-04  4.612002e-04  7.519892e-04
2.400  7.762053e-05  1.326467e-04  2.453192e-04  4.575133e-04  7.459777e-04
2.600  7.726822e-05  1.330462e-04  2.472583e-04  4.631008e-04  7.518742e-04
