# mass_TeV  exp_m2sigma  exp_m1sigma  exp_median  exp_p1sigma  exp_p2sigma
1.100  6.420817e-04  9.594918e-04  1.565456e-03  2.663692e-03  4.359016e-03
1.200  5.330771e-04  8.079038e-04  1.351166e-03  2.336768e-03  3.887207e-03
1.300  4.649219e-04  7.167299e-04  1.214490e-03  2.139123e-03  3.595964e-03
1.400  4.160800e-04  6.569720e-04  1.133154e-03  2.027480e-03  3.440215e-03
1.600  3.576136e-04  5.740443e-04  1.017212e-03  1.856524e-03  3.093155e-03
1.800  3.200223e-04  5.275949e-04  9.526245e-04  1.761429e-03  2.896775e-03
2.000  3.065830e-04  5.162623e-04  9.456055e-04  1.759758e-03  2.875440e-03
2.200  3.015168e-04  5.114525e-04  9.413208e-04  1.766793e-03  2.862411e-03
2.400  2.952624e-04  5.045775e-04  9.331750e-04  1.751504e-03  2.837641e-03
2.600  2.841476e-04  4.892667e-04  9.092725e-04  1.710265e-03  2.764957e-03
